Region,Region.Code,code,Site,site.letter,Sample,sampling.date.code,sampling.set,bottle.number,sample.name.library.prep,SamplingDate,SamplingMonth,SamplingYear.x,Buffer,Extraction.Status,sample.box,Library.Preparation.Status..MiFish.,Library.Preparation.Status..16s_Metazoa.,Library.Preparation.Status..MarVer.,field.notes,lab.notes
Lynn Canal,lc,jncci,cowee,c,CC_4-30-2021_Set1_1,521,1,1,lcc521s11,4/30/21,April,2021,longmire,complete,tray 2,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_4-30-2021_Set1_1,521,1,1,lcc521s11,4/30/21,April,2021,longmire,complete,tray 2,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_4-30-2021_Set1_2,521,1,2,lcc521s12,4/30/21,April,2021,longmire,complete,tray 2,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_4-30-2021_Set1_2,521,1,2,lcc521s12,4/30/21,April,2021,longmire,complete,tray 2,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_4-30-2021_Set1_3,521,1,3,lcc521s13,4/30/21,April,2021,longmire,complete,tray 2,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_4-30-2021_Set1_3,521,1,3,lcc521s13,4/30/21,April,2021,longmire,complete,tray 2,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_4-30-2021_Set1_4,521,1,4,lcc521s14,4/30/21,April,2021,longmire,complete,tray 2,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_4-30-2021_Set1_4,521,1,4,lcc521s14,4/30/21,April,2021,longmire,complete,tray 2,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_4-30-2021_Set1_NC,521,1,NC,lcc521s1NC,4/30/21,April,2021,longmire,complete,tray 2,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_4-30-2021_Set1_NC,521,1,NC,lcc521s1NC,4/30/21,April,2021,longmire,complete,tray 2,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_4-30-2021_Set3_5,521,3,1,lcc521s31,4/30/21,April,2021,longmire,complete,tray 2,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_4-30-2021_Set3_5,521,3,1,lcc521s31,4/30/21,April,2021,longmire,complete,tray 2,,NA,NA,NA,
Lynn Canal,lc,jncci,cowee,c,CC_4-30-2021_Set3_6,521,3,2,lcc521s32,4/30/21,April,2021,longmire,complete,tray 2,,NA,NA,NA,
