"","qseqid","species","genus","family","order","class","phylum","kingdom","seq_percID","top_perc","diff","taxonomic_level","taxon"
"1","01556575176e17fa8fe72fb326902f97","Lumpenus sagitta","Lumpenus","Stichaeidae","Perciformes","Actinopteri","Chordata","Eukaryota",99.408,99.408,0,"family","Stichaeidae"
"2","01556575176e17fa8fe72fb326902f97","Leptoclinus maculatus","Leptoclinus","Stichaeidae","Perciformes","Actinopteri","Chordata","Eukaryota",98.817,99.408,0.591000000000008,"family","Stichaeidae"
"3","01556575176e17fa8fe72fb326902f97","Lumpenus fabricii","Lumpenus","Stichaeidae","Perciformes","Actinopteri","Chordata","Eukaryota",98.817,99.408,0.591000000000008,"family","Stichaeidae"
"4","01d1bada021c2b924016fe92cfc991ed","Platichthys stellatus","Platichthys","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota",98.817,98.817,0,"family","Pleuronectidae"
"5","01d1bada021c2b924016fe92cfc991ed","Hippoglossoides elassodon","Hippoglossoides","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota",98.225,98.817,0.591999999999999,"family","Pleuronectidae"
"6","01d1bada021c2b924016fe92cfc991ed","Hippoglossoides robustus","Hippoglossoides","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota",98.225,98.817,0.591999999999999,"family","Pleuronectidae"
"7","01d1bada021c2b924016fe92cfc991ed","Isopsetta isolepis","Isopsetta","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota",98.225,98.817,0.591999999999999,"family","Pleuronectidae"
"8","01d1bada021c2b924016fe92cfc991ed","Parophrys vetulus","Parophrys","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota",98.225,98.817,0.591999999999999,"family","Pleuronectidae"
"9","01d1bada021c2b924016fe92cfc991ed","Pleuronectes quadrituberculatus","Pleuronectes","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota",98.225,98.817,0.591999999999999,"family","Pleuronectidae"
"10","01d1bada021c2b924016fe92cfc991ed","Psettichthys melanostictus","Psettichthys","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota",98.225,98.817,0.591999999999999,"family","Pleuronectidae"
"11","01d1bada021c2b924016fe92cfc991ed","Glyptocephalus zachirus","Glyptocephalus","Pleuronectidae","Pleuronectiformes","Actinopteri","Chordata","Eukaryota",98.193,98.817,0.623999999999995,"family","Pleuronectidae"
