region,site_id,Station,SamplingDate,SamplingMonth,ProbeDepth,SamplingYear,Time,Latitude,Longitude,Sensor Present,DissolvedOxygen,%DO,SpecificConductivity,Salinity,Temperature,FieldInstrument,HydrologySample?,TurbiditySample?,Turbidity_rep1,Turbidity_rep2,Turbidity_rep3,Turbidity_rep4,Turbidity_mean,TurbidityInstrument,Notes
jn,jncci,near,4/2/21,April,1,2021,11:45:00 AM,58.68468333,-134.9468833,y,10.49,,27846,29.8,3.4,YSI 2030,n,n,,,,,,,
jn,jncci,near,4/30/21,May,1,2021,11:45:00 AM,58.68468333,-134.9468833,y,13.21,,29927,31.1,4.8,YSI 2030,n,n,,,,,,,
jn,jncci,near,4/30/21,May,5,2021,11:30:00 AM,58.68468333,-134.9468833,y,12.84,,29929,31.1,4.9,YSI 2030,n,n,,,,,,,
jn,jncci,near,5/25/21,June,1,2021,10:01:00 AM,58.68468333,-134.9468833,y,13.35,,29910,27.5,9,YSI 2030,n,y,1.13,0.97,1.86,,1.32,,
jn,jncci,near,5/25/21,June,5,2021,9:36:00 AM,58.68468333,-134.9468833,y,13.16,,29854,27.4,9.1,YSI 2030,n,n,,,,,,,
jn,jncci,near,6/26/21,July,1,2021,10:45:00 AM,58.68468333,-134.9468833,y,10.3,,15052,11.9,12.6,YSI 2030,n,y,6.7,6.36,7.03,,6.696666667,,
jn,jncci,near,6/26/21,July,5,2021,10:30:00 AM,58.68468333,-134.9468833,y,10.89,,12512.5,9.4,13.2,YSI 2030,n,n,,,,,,,
jn,jncci,near,7/28/21,August,1,2021,,58.68468333,-134.9468833,y,11.18,,12558,9.2,14.3,YSI 2030,n,y,3.97,4.03,3.29,,3.763333333,,
jn,jncci,near,8/25/21,September,1,2021,10:00:00 AM,58.68468333,-134.9468833,y,9.99,,15410,12,12.8,YSI 2030,n,n,,,,,,,
jn,jncci,near,8/25/21,September,5,2021,9:45:00 AM,58.68468333,-134.9468833,y,10.3,,16441,12.9,12.9,YSI 2030,n,n,,,,,,,
jn,jncci,100m,10/5/21,October,1,2021,3:30:00 PM,58.684812,-134.940885,n,10.24,,28419,26.1,8.8,YSI 2030,n,y,0.78,0.98,0.77,,0.843333333,,
jn,jncci,100m,10/5/21,October,5,2021,3:30:00 PM,58.684812,-134.940885,n,9.01,,29636,27.4,8.9,YSI 2030,n,n,,,,,,,
jn,jncci,50m,10/5/21,October,1,2021,3:30:00 PM,58 41.087,-134 56.363,n,8.42,,29201,26.9,8.8,YSI 2030,n,y,0.83,0.92,0.87,,0.873333333,,
jn,jncci,50m,10/5/21,October,5,2021,3:30:00 PM,58 41.087,-134 56.363,n,8.42,,299951,27.7,8.8,YSI 2030,n,n,,,,,,,
jn,jncci,near,10/5/21,October,0.5,2021,3:30:00 PM,58 41.051,-134 56.331,y,8.79,,29788,27.5,8.9,YSI 2030,n,y,1.09,0.7,0.6,0.73,0.78,,
jn,jncci,100m,4/22/22,April,1,2022,,58.685183,-134.939567,n,11.06,,30360,31,5.4,YSI 2030,n,y,1.45,1.28,0.96,,1.23,Hach 2100Q Turbidimeter,
jn,jncci,100m,4/22/22,April,5,2022,,58.685183,-134.939567,n,11.37,,30225,31.2,4.9,YSI 2030,n,n,,,,,,,
jn,jncci,50m,4/22/22,April,1,2022,,58.68465,-134.939367,n,11.3,,30163,31,5.4,YSI 2030,n,y,1.1,1.15,1.39,,1.213333333,Hach 2100Q Turbidimeter,
jn,jncci,50m,4/22/22,April,5,2022,,58.68465,-134.939367,n,,,,,,YSI 2030,n,n,,,,,,,
jn,jncci,near,4/22/22,April,1,2022,,58.6842,-134.938883,y,11.59,,30460,31.2,5.4,YSI 2030,n,y,1.24,1.25,1.31,,1.266666667,Hach 2100Q Turbidimeter,
jn,jncci,100m,5/20/22,May,1,2022,12:38:00 PM,58.685817,-134.9397,n,13.65,,31520,29.8,8.2,YSI 2030,n,y,1.43,1.42,1.58,,1.476666667,Hach 2100Q Turbidimeter,
jn,jncci,100m,5/20/22,May,5,2022,12:39:00 PM,58.685833,-134.939583,n,14.08,,31538,29.9,8.1,YSI 2030,n,n,,,,,,,
jn,jncci,50m,5/20/22,May,1,2022,12:35:00 PM,58.685083,-134.93945,n,15.54,,31480,29.8,8.2,YSI 2030,n,y,1.53,1.44,1.46,,1.476666667,Hach 2100Q Turbidimeter,
