sheetname,Phylum,Class,Order,Family ,Genus,Species 
Myoxocephalus polyacanthocephalus,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Myoxocephalus,Myoxocephalus polyacanthocephalus
Clinocottus acuticeps,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Clinocottus,Clinocottus acuticeps
Platichthys stellatus,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Platichthys,Platichthys stellatus
Salvelinus malma,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Salvelinus,Salvelinus malma
Lepidopsetta spp.,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Lepidopsetta,NA
Hexagrammos octogrammus,Chordata,Actinopterygii,Scorpaeniformes,Hexagrammidae,Hexagrammos,Hexagrammos octogrammus
Ammodytes hexapterus,Chordata,Actinopterygii,Trachiniformes,Ammodytidae,Ammodytes,Ammodytes hexapterus
Leptocottus armatus,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Leptocottus,Leptocottus armatus
Enophrys bison,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Enophrys,Enophrys bison
Pholis laeta,Chordata,Actinopterygii,Scorpaeniformes,Pholidae,Pholis,Pholis laeta
Oncorhynchus gorbuscha,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus ,Oncorhynchus gorbuscha
Pleuronectidae,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,NA,NA
Apodichthys flavidus,Chordata,Actinopterygii,Scorpaeniformes,Pholidae,Apodichthys f,Apodichthys flavidus
Gasterosteus aculeatus,Chordata,Actinopterygii,Scorpaeniformes,Gasterosteidae,Gasterosteus ,Gasterosteus aculeatus
Eleginus gracilis,Chordata,Actinopterygii,Gadiformes,Gadidae,Eleginus,Eleginus gracilis
Oncorhynchus spp.,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,NA
Lumpenus sagitta,Chordata,Actinopterygii,Scorpaeniformes,Stichaeidae,Lumpenus,Lumpenus sagitta
Hexagrammos decagrammus,Chordata,Actinopterygii,Scorpaeniformes,Hexagrammidae,Hexagrammos,Hexagrammos decagrammus
Cottidae,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,NA,NA
Ammodytes americanus,Chordata,Actinopterygii,Trachiniformes,Ammodytidae,Ammodytes,Ammodytes americanus
Oncorhynchus keta,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus keta
Oncorhynchus kisutch,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus kisutch
Oncorhynchus clarkii,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus clarkii
Hypomesus pretiosus,Chordata,Actinopterygii,Osmeriformes,Osmeridae,Hypomesus,Hypomesus pretiosus
Microgadus tomcod,Chordata,Actinopterygii,Gadiformes,Gadidae,Microgadus,Microgadus tomcod
Liparidae,Chordata,Actinopterygii,Scorpaeniformes,Liparidae,NA,NA
Oncorhynchus tshawytscha,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus tshawytscha
Oligocottus maculosus,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Oligocottus,Oligocottus maculosus
Podothecus accipenserinus,Chordata,Actinopterygii,Scorpaeniformes,Agonidae,Podothecus,Podothecus accipenserinus
Parophrys vetulus,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Parophrys,Parophrys vetulus
Limanda aspera,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Limanda,Limanda aspera
Oncorhynchus nerka,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus nerka
Blepsias cirrhosus,Chordata,Actinopterygii,Scorpaeniformes,Agonidae,Blepsias,Blepsias cirrhosus
Hexagrammos lagocephalus,Chordata,Actinopterygii,Scorpaeniformes,Hexagrammidae,Hexagrammos,Hexagrammos lagocephalus
Psettichthys melanostictus,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Psettichthys,Psettichthys melanostictus
Trichodon trichodon,Chordata,Actinopterygii,Scorpaeniformes,Trichodontidae,Trichodon,Trichodon trichodon
Clupea pallasii,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea pallasii
Hexagrammos spp.,Chordata,Actinopterygii,Scorpaeniformes,Hexagrammidae,Hexagrammos,NA
Microcottus sellaris,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Microcottus,Microcottus sellaris
Enophrys bison / Myoxocephalus polyacanthocephalus,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,,Enophrys bison / Myoxocephalus polyacanthocephalus
Teleost sp.,Chordata,Actinopterygii,Teleost sp.,Teleost sp.,Teleost sp.,Teleost sp.
Anoplarchus insignis,Chordata,Actinopterygii,Scorpaeniformes,Stichaeidae,Anoplarchus,Anoplarchus insignis
Ophiodon elongatus,Chordata,Actinopterygii,Scorpaeniformes,Hexagrammidae,Ophiodon,Ophiodon elongatus
Artedius harringtoni,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Artedius,Artedius harringtoni
Gadus macrocephalus,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus macrocephalus
Oncorhynchus mykiss,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus mykiss
Hemilepidotus spinosus,Chordata,Actinopterygii,Scorpaeniformes,Agonidae,Hemilepidotus,Hemilepidotus spinosus
