Step2.tibble_sample_id,Step2.tibble_Hash,Step2.tibble_nReads
kbb922pgb111,f7e3adbeff07c41ffad9206ea68e8840,1935
kbb922pgbs112,f7e3adbeff07c41ffad9206ea68e8840,16934
kbb922pgts111,f7e3adbeff07c41ffad9206ea68e8840,5665
kbb922pgts112,f7e3adbeff07c41ffad9206ea68e8840,13608
kbb922pmbs111,f7e3adbeff07c41ffad9206ea68e8840,7306
kbb922pmbs112,f7e3adbeff07c41ffad9206ea68e8840,10622
kbb922pmbs121,f7e3adbeff07c41ffad9206ea68e8840,3086
kbb922pmts111,f7e3adbeff07c41ffad9206ea68e8840,7753
kbb922pmts112,f7e3adbeff07c41ffad9206ea68e8840,5300
kbb922pnbs111,f7e3adbeff07c41ffad9206ea68e8840,4866
kbb922pnbs112,f7e3adbeff07c41ffad9206ea68e8840,6342
kbb922pnts111,f7e3adbeff07c41ffad9206ea68e8840,7007
kbb922pnts112,f7e3adbeff07c41ffad9206ea68e8840,11019
kbg422s1NC,f7e3adbeff07c41ffad9206ea68e8840,12962
kbj422s113,f7e3adbeff07c41ffad9206ea68e8840,7689
kbw422s321,f7e3adbeff07c41ffad9206ea68e8840,72
kbw422s341,f7e3adbeff07c41ffad9206ea68e8840,3457
kbw422s511,f7e3adbeff07c41ffad9206ea68e8840,27938
kbw422s512,f7e3adbeff07c41ffad9206ea68e8840,3748
lce422s111,f7e3adbeff07c41ffad9206ea68e8840,1096
lce422s112,f7e3adbeff07c41ffad9206ea68e8840,4901
lce422s311,f7e3adbeff07c41ffad9206ea68e8840,54599
lce422s341,f7e3adbeff07c41ffad9206ea68e8840,20881
lcm422s111,f7e3adbeff07c41ffad9206ea68e8840,22650
lcm422s112,f7e3adbeff07c41ffad9206ea68e8840,28715
lcm422s113,f7e3adbeff07c41ffad9206ea68e8840,20085
lcs422s141,f7e3adbeff07c41ffad9206ea68e8840,88365
kbb922pnts111,0bef97a2e309fb5af3c48dd48e126e53,2118
kbg422s321,0bef97a2e309fb5af3c48dd48e126e53,29566
kbg422s341,0bef97a2e309fb5af3c48dd48e126e53,22639
kbg922s331,0bef97a2e309fb5af3c48dd48e126e53,436
kbh422s311,0bef97a2e309fb5af3c48dd48e126e53,190569
kbh422s312,0bef97a2e309fb5af3c48dd48e126e53,155065
kbh422s313,0bef97a2e309fb5af3c48dd48e126e53,148650
kbh422s321,0bef97a2e309fb5af3c48dd48e126e53,92669
